Date,Country,City,Specie,count,min (ug/m3),max (ug/m3),median (ug/m3)
2017-02-16,US,Los Angeles,pm25,68,0.7,44.0,15.9
2017-02-17,US,Los Angeles,pm25,69,1.2,21.1,5.7
2017-02-17,CN,Wuhan,pm25,306,90.3,414.0,140.7
2017-02-17,IN,New Delhi,pm25,24,41.9,144.5,98.1
2017-02-17,CN,Shanghai,pm25,151,8.1,148.4,26.8
2017-02-17,US,Houston,pm25,96,0.9,21.1,7.2
2017-02-17,US,Manhattan,pm25,96,3.1,40.3,9.6
2017-02-17,US,Jacksonville,pm25,119,3.8,47.6,11.0
2017-02-17,CN,Beijing,pm25,336,3.1,92.2,13.0
2017-02-18,IN,New Delhi,pm25,24,17.8,152.5,113.6
2017-02-18,US,Los Angeles,pm25,66,0.2,15.4,4.0
2017-02-18,CN,Beijing,pm25,438,40.7,187.8,92.2
2017-02-18,US,Manhattan,pm25,96,8.1,41.9,14.9
2017-02-18,CN,Wuhan,pm25,407,44.0,203.9,80.6
2017-02-18,US,Jacksonville,pm25,118,3.1,37.9,13.5
2017-02-18,US,Houston,pm25,96,1.4,25.8,5.2
2017-02-18,CN,Shanghai,pm25,207,2.1,33.0,14.0
2017-02-19,CN,Beijing,pm25,429,3.1,199.9,140.7
2017-02-19,CN,Wuhan,pm25,408,59.3,203.9,131.0
2017-02-19,IN,New Delhi,pm25,24,31.1,160.5,107.7
2017-02-19,US,Manhattan,pm25,95,4.3,37.9,10.5
2017-02-19,US,Jacksonville,pm25,116,0.7,22.5,6.2
2017-02-19,US,Los Angeles,pm25,65,0.2,17.3,6.7
2017-02-19,US,Houston,pm25,96,4.3,25.4,14.9
2017-02-19,CN,Shanghai,pm25,216,10.0,63.2,40.7
2017-02-20,IN,New Delhi,pm25,24,23.9,146.5,111.6
2017-02-20,US,Houston,pm25,73,0.2,11.0,4.3
2017-02-20,US,Manhattan,pm25,95,0.2,44.8,6.9
2017-02-20,CN,Beijing,pm25,393,3.1,90.3,9.1
2017-02-20,US,Jacksonville,pm25,118,2.6,35.4,7.2
2017-02-20,US,Los Angeles,pm25,67,0.2,18.7,6.0
2017-02-20,CN,Wuhan,pm25,408,34.9,240.3,101.9
2017-02-20,CN,Shanghai,pm25,214,9.1,125.2,48.0
2017-02-21,CN,Shanghai,pm25,215,3.1,35.9,20.1
2017-02-21,IN,New Delhi,pm25,24,39.9,131.0,86.4
2017-02-21,US,Manhattan,pm25,96,2.1,45.6,7.9
2017-02-21,CN,Wuhan,pm25,403,7.2,61.3,26.8
2017-02-21,US,Los Angeles,pm25,67,2.4,25.8,13.0
2017-02-21,US,Houston,pm25,71,0.2,13.0,3.6
2017-02-21,US,Jacksonville,pm25,114,0.4,22.5,5.0
2017-02-21,CN,Beijing,pm25,371,3.1,132.9,52.1
